time,thermal_energy_demand,temperature,t below t_biv,th_output_hp,th_output_hr,el_demand_hp,el_demand_hr,cop
2015-05-22 02:15:00,0.23546854332698228,8.9,False,0.23546854332698228,0.0,0.10364104339538656,0.0,2.2719623
2015-05-22 02:30:00,0.24617165893275422,9.2,False,0.24617165893275422,0.0,0.10754535377353525,0.0,2.2890032
2015-05-22 02:45:00,0.25687477453852614,8.6,False,0.25687477453852614,0.0,0.11391166758868915,0.0,2.2550348000000002
2015-05-22 03:00:00,0.26757789014429806,8.850000000000003,False,0.26757789014429806,0.0,0.11792075189429906,0.0,2.269133175
2015-05-22 03:15:00,0.2996872369616138,8.7,False,0.2996872369616138,0.0,0.13256598245711262,0.0,2.2606647000000004
2015-05-22 03:30:00,0.3317965837789296,8.55,False,0.3317965837789296,0.0,0.14731949356290533,0.0,2.2522245749999996
2015-05-22 03:45:00,0.36390593059624543,8.6,False,0.36390593059624543,0.0,0.16137486241730967,0.0,2.2550348000000002
2015-05-22 04:00:00,0.3960152774135612,8.2,False,0.3960152774135612,0.0,0.17737524391002063,0.0,2.2326412
2015-05-22 04:15:00,0.4776265339075721,8.5,False,0.4776265339075721,0.0,0.21233343028031573,0.0,2.2494175
2015-05-22 04:30:00,0.5592377904015831,8.75,False,0.5592377904015831,0.0,0.24706942825774225,0.0,2.263484375
2015-05-22 04:45:00,0.640849046895594,9.3,False,0.640849046895594,0.0,0.27927250500056683,0.0,2.2947086999999993
2015-05-22 05:00:00,0.7224603033896049,9.6,False,0.7224603033896049,0.0,0.3124962383289131,0.0,2.3119008
2015-05-22 05:15:00,0.7699553788902177,10.1,False,0.7699553788902177,0.0,0.32892742081658694,0.0,2.3408062999999997
2015-05-22 05:30:00,0.8174504543908305,10.5,False,0.8174504543908305,0.0,0.34576818777548896,0.0,2.3641575
2015-05-22 05:45:00,0.8649455298914435,10.8,False,0.8649455298914435,0.0,0.36314735402632903,0.0,2.3818032000000002
2015-05-22 06:00:00,0.9124406053920563,11.6,False,0.9124406053920563,0.0,0.37558071867903897,0.0,2.4294127999999997
2015-05-22 06:15:00,0.9121061330293759,12.5,False,0.9121061330293759,0.0,0.3672017242903156,0.0,2.4839375
2015-05-22 06:30:00,0.9117716606666956,13.2,False,0.9117716606666956,0.0,0.36080458546573796,0.0,2.5270512
2015-05-22 06:45:00,0.9114371883040152,13.0,False,0.9114371883040152,0.0,0.36244803027992345,0.0,2.51467
2015-05-22 07:00:00,0.9111027159413349,13.4,False,0.9111027159413349,0.0,0.3587749111517255,0.0,2.539482799999999
2015-05-22 07:15:00,0.8769865349479369,13.7,False,0.8769865349479369,0.0,0.34281059632796795,0.0,2.5582247
2015-05-22 07:30:00,0.8428703539545388,14.5,False,0.8428703539545388,0.0,0.3230926423611772,0.0,2.6087575000000003
2015-05-22 07:45:00,0.8087541729611408,14.2,False,0.8087541729611408,0.0,0.3122948799740221,0.0,2.5897132000000003
2015-05-22 08:00:00,0.7746379919677429,15.4,False,0.7746379919677429,0.0,0.29049969045177537,0.0,2.6665707999999997
2015-05-22 08:15:00,0.7575799014710438,15.0,False,0.7575799014710438,0.0,0.28688058372471603,0.0,2.6407499999999997
2015-05-22 08:30:00,0.7405218109743448,15.45,False,0.7405218109743448,0.0,0.2773684632054536,0.0,2.669812575
2015-05-22 08:45:00,0.7234637204776458,15.4,False,0.7234637204776458,0.0,0.2713086487250389,0.0,2.6665707999999997
2015-05-22 09:00:00,0.7064056299809468,16.15,False,0.7064056299809468,0.0,0.26013562904054455,0.0,2.7155281749999993
2015-05-22 09:15:00,0.690350956572289,16.4,False,0.690350956572289,0.0,0.25269024292061604,0.0,2.7320048
2015-05-22 09:30:00,0.674296283163631,16.6,False,0.674296283163631,0.0,0.24562355036998218,0.0,2.7452428
2015-05-22 09:45:00,0.6582416097549731,17.1,False,0.6582416097549731,0.0,0.23690041333844725,0.0,2.7785582999999994
2015-05-22 10:00:00,0.6421869363463153,17.15,False,0.6421869363463153,0.0,0.2308441281281484,0.0,2.7819071749999997
2015-05-22 10:15:00,0.6274701523883789,18.0,False,0.6274701523883789,0.0,0.2209931083457937,0.0,2.83932
2015-05-22 10:30:00,0.6127533684304425,17.6,False,0.6127533684304425,0.0,0.21789197383562675,0.0,2.8121887999999995
2015-05-22 10:45:00,0.5980365844725062,18.2,False,0.5980365844725062,0.0,0.20961959961898752,0.0,2.8529612
2015-05-22 11:00:00,0.5833198005145698,18.200000000000006,False,0.5833198005145698,0.0,0.2044611754672898,0.0,2.8529612
2015-05-22 11:15:00,0.5759614085356015,18.0,False,0.5759614085356015,0.0,0.20285188303382554,0.0,2.83932
2015-05-22 11:30:00,0.5686030165566334,19.25,False,0.5686030165566334,0.0,0.1943673228275094,0.0,2.925404375
2015-05-22 11:45:00,0.5612446245776652,19.9,False,0.5612446245776652,0.0,0.1889110633126103,0.0,2.9709462999999996
2015-05-22 12:00:00,0.553886232598697,19.4,False,0.553886232598697,0.0,0.18866190816241973,0.0,2.9358667999999994
2015-05-22 12:15:00,0.5502070366092129,19.3,False,0.5502070366092129,0.0,0.18785522188303472,0.0,2.928888699999999
2015-05-22 12:30:00,0.5465278406197288,19.6,False,0.5465278406197288,0.0,0.18527241713226905,0.0,2.9498607999999997
2015-05-22 12:45:00,0.5428486446302447,19.4,False,0.5428486446302447,0.0,0.18490234115193674,0.0,2.9358667999999994
2015-05-22 13:00:00,0.5391694486407607,19.7,False,0.5391694486407607,0.0,0.18234424473660357,0.0,2.9568766999999996
2015-05-22 13:15:00,0.5378315591900391,20.0,False,0.5378315591900391,0.0,0.1806015981161985,0.0,2.9779999999999998
2015-05-22 13:30:00,0.5364936697393177,19.450000000000006,False,0.5364936697393177,0.0,0.18252053671207644,0.0,2.9393605750000003
2015-05-22 13:45:00,0.5351557802885961,18.8,False,0.5351557802885961,0.0,0.18490710631592736,0.0,2.8941872
