time,Wind_0,Wind_1,Wind_2,Wind_3,Wind_4,Wind_5,P_ac,P_in without losses [KW],P_in [KW],hydrogen production [Kg/dt],surplus electricity [kW],status,status codes,H20 [kg/dt],Oxygen [kg/dt],cooling Water [kg/dt],Heat Cell [%],heat system [%],electrolyzer {%],gasdrying {%],electronics [%],pump [%],compression [%],efficiency [%],efficency _c [%],Electrolyzer
2024-03-03 14:00:00,1656.497007348932,1656.497007348932,1656.497007348932,1656.497007348932,1656.497007348932,1656.497007348932,9938.98,9938.28,9626.03,203.58,0.0,production,4,1818.69,1618.36,-17002.59,12.22,-1.71,30.0,1.83,2.81,0.22,0.0,65.63,65.63,9938.28
2024-03-03 14:15:00,2377.515903157678,2377.515903157678,2377.515903157678,2377.515903157678,2377.515903157678,2377.515903157678,14265.1,14264.4,14066.64,289.82,0.0,production,4,2589.12,2303.92,-32101.85,15.78,-2.21,31.0,1.79,2.38,0.29,0.0,64.21,64.21,14264.4
2024-03-03 14:30:00,2376.8932186528928,2376.8932186528928,2376.8932186528928,2376.8932186528928,2376.8932186528928,2376.8932186528928,14261.36,14260.66,13968.74,287.98,0.0,production,4,2572.68,2289.29,-31734.08,15.71,-2.2,31.0,1.79,2.39,0.29,0.0,64.24,64.24,14260.66
2024-03-03 14:45:00,2152.591446570714,2152.591446570714,2152.591446570714,2152.591446570714,2152.591446570714,2152.591446570714,12915.55,12914.85,12625.11,262.46,0.0,production,4,2344.69,2086.42,-26837.48,14.7,-2.06,31.0,1.8,2.51,0.26,0.0,64.72,64.72,12914.85
2024-03-03 15:00:00,1600.7999094341376,1600.7999094341376,1600.7999094341376,1600.7999094341376,1600.7999094341376,1600.7999094341376,9604.8,9604.1,9343.63,197.88,0.0,production,4,1767.77,1573.04,-16161.06,11.96,-1.67,29.0,1.84,2.84,0.22,0.0,65.69,65.69,9604.1
2024-03-03 15:15:00,2040.784885370508,2040.784885370508,2040.784885370508,2040.784885370508,2040.784885370508,2040.784885370508,12244.71,12244.01,12052.11,251.42,0.0,production,4,2246.07,1998.66,-24837.75,14.25,-2.0,30.0,1.81,2.56,0.25,0.0,64.91,64.91,12244.01
2024-03-03 15:30:00,1655.2194521177173,1655.2194521177173,1655.2194521177173,1655.2194521177173,1655.2194521177173,1655.2194521177173,9931.32,9930.62,9682.4,204.71,0.0,production,4,1828.78,1627.34,-17172.41,12.27,-1.72,30.0,1.83,2.8,0.22,0.0,65.62,65.62,9930.62
2024-03-03 15:45:00,1396.6078794277348,1396.6078794277348,1396.6078794277348,1396.6078794277348,1396.6078794277348,1396.6078794277348,8379.65,8378.95,8180.02,174.13,0.0,production,4,1555.6,1384.24,-12860.81,10.87,-1.52,29.0,1.85,2.99,0.21,0.0,65.9,65.9,8378.95
2024-03-03 16:00:00,875.2129789737235,875.2129789737235,875.2129789737235,875.2129789737235,875.2129789737235,875.2129789737235,5251.28,5250.58,5082.71,108.35,0.0,production,4,967.95,861.33,-5529.68,7.53,-1.05,29.0,1.85,3.81,0.18,0.0,65.21,65.21,5250.58
2024-03-03 16:15:00,1308.924997544244,1308.924997544244,1308.924997544244,1308.924997544244,1308.924997544244,1308.924997544244,7853.55,7852.85,7749.49,165.22,0.0,production,4,1476.0,1313.41,-11710.67,10.45,-1.46,29.0,1.85,3.08,0.2,0.0,65.93,65.93,7852.85
